#{"t_start": 1738834935.969541, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,3847,6.051057
-19.0,4412,51.741343
-21.0,3056,55.80154
-21.0,3056,83.855663
-21.0,3656,108.738117
-20.0,3687,133.617581
-20.0,3479,162.141213
-20.0,3675,187.028586
-21.0,3603,191.913345
-21.0,3240,216.202993
-21.0,3131,244.009942
-21.0,3532,268.831124
-21.0,3128,293.056444
-21.0,3168,297.390675
-21.0,3768,326.477615
-21.0,3056,350.607069
-20.0,3536,375.394234
-21.0,3408,400.11449
-21.0,3304,408.319115
-20.0,3547,433.092838
-20.0,3592,458.079468
-21.0,4096,487.654616
-21.0,3544,512.546194
-21.0,3373,537.219119
-20.0,3588,562.104542
-20.0,4147,592.405214
-21.0,3835,617.660776
-20.0,4576,644.014432
-20.0,3677,673.859863
-20.0,3479,698.797868
-20.0,4755,725.457886
-20.0,3833,755.491974
-20.0,5166,782.641831
-20.0,4878,814.201237
-19.0,4106,840.017069
-21.0,3131,864.437951
-21.0,6246,899.534411
-19.0,6294,948.333776
-21.0,4316,974.419566
-17.0,7560,1031.550086
-17.0,7090,1067.836809
-20.0,6379,1116.966662
-15.0,9456,1178.937963
-21.0,7621,1229.54404
-17.0,9603,1311.112525
6.0,11828,1376.972931
8.0,11023,1464.253118
-1.0,14731,1575.219969
-9.0,11714,1661.459949
1.0,15541,1755.088385
-8.0,12499,1846.432337
4.0,14081,1971.013814
21.0,7907,2022.187224
20.0,8224,2082.388584
19.0,8199,2133.995431
-14.0,9680,2199.642572
20.0,8287,2264.096168
-9.0,14299,2383.114238
19.0,8343,2447.106842
3.0,16763,2565.367712
18.0,16166,2687.735182
21.0,7907,2752.369202
2.0,17995,2869.829161
9.0,18408,3002.181372
16.0,10198,3087.77031
12.0,17580,3209.533248
19.0,9313,3273.26311
12.0,23120,3454.666983
14.0,17479,3567.937899
20.0,8430,3634.113398
14.0,18373,3769.535251
17.0,17606,3900.458243
19.0,16039,4013.090643
21.0,7907,4078.597822
10.0,15368,4202.075853
21.0,7907,4257.497987
21.0,7907,4324.999982
20.0,8142,4392.569723
20.0,15194,4492.605223
18.0,9287,4585.790659
21.0,7907,4640.448204
5.0,15260,4740.017903
14.0,16352,4870.923745
19.0,15719,4998.349883
19.0,12484,5112.327952
18.0,10345,5221.51091
20.0,8142,5289.174261
20.0,6972,5320.101704
19.0,9410,5404.407237
16.0,9414,5471.71986
19.0,6542,5502.512073
20.0,13700,5618.356578
18.0,8718,5681.25092
20.0,8278,5744.412231
20.0,8764,5799.26036
19.0,7510,5862.103454
19.0,7678,5915.647388
20.0,10698,5985.824991
21.0,7907,6050.973076
14.0,12882,6144.336807
15.0,12326,6236.834988
20.0,8430,6323.667458
21.0,6640,6354.199173
20.0,9244,6418.086898
19.0,9324,6503.759816
21.0,7907,6557.297196
21.0,7907,6620.343626
21.0,7907,6663.231783
19.0,10554,6740.942638
20.0,8345,6806.491934
21.0,8862,6872.404854
19.0,8188,6926.565921
18.0,7048,6986.464887
19.0,13558,7077.725354
20.0,8894,7143.365286
18.0,7604,7196.217868
20.0,6382,7259.937642
20.0,15528,7375.548488
20.0,6536,7414.578928
21.0,7907,7471.05087
20.0,9936,7557.327079
20.0,8630,7622.647039
20.0,8278,7676.432216
20.0,6536,7720.771369
20.0,6914,7780.872553
21.0,7907,7834.063573
21.0,7907,7898.679987
21.0,6610,7929.252856
20.0,8764,7992.640591
21.0,6878,8061.526445
20.0,10168,8140.868252
21.0,7907,8207.487801
20.0,15036,8311.962807
20.0,15550,8431.275324
19.0,10653,8526.175243
21.0,7907,8592.733411
21.0,10373,8661.571974
21.0,6610,8714.514538
