#{"t_start": 1738834936.0844219, "env_id": "PongNoFrameskip-v4"}
r,l,t
21.0,11726,16324.003781
21.0,7907,16355.851241
21.0,10373,16442.869776
21.0,7907,16508.294612
21.0,7907,16568.724516
21.0,6610,16598.693047
21.0,7907,16661.41605
21.0,7907,16714.169491
21.0,6878,16774.891924
21.0,6610,16825.666188
21.0,6610,16865.301176
21.0,10373,16951.171276
21.0,7907,17004.256124
20.0,9953,17070.855235
19.0,13355,17160.484784
19.0,9232,17243.894521
21.0,6610,17273.992177
21.0,6610,17334.882601
21.0,10373,17400.372628
21.0,11350,17487.840676
21.0,6610,17538.329315
21.0,6610,17579.124247
21.0,6610,17629.5178
21.0,6610,17689.648838
21.0,10373,17754.371949
21.0,6610,17805.049142
21.0,6610,17844.797297
19.0,13475,17956.629673
21.0,10373,18022.445254
21.0,6610,18073.026759
21.0,7907,18136.421284
21.0,6610,18166.210839
21.0,6610,18225.834112
21.0,11350,18313.467561
20.0,11670,18380.767999
21.0,10373,18466.307421
