#{"t_start": 1738834936.113117, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,3998,6.10258
-21.0,3056,30.13481
-21.0,3354,54.420293
-21.0,3304,82.767469
-21.0,3487,107.435192
-19.0,4084,132.880348
-20.0,3351,137.441395
-20.0,3481,166.008575
-20.0,3367,190.398433
-20.0,3831,215.484676
-21.0,3720,244.082372
-21.0,3904,269.416745
-21.0,3408,294.040115
-20.0,3425,318.916027
-21.0,3288,327.218638
-21.0,3536,352.004991
-21.0,3304,376.483114
-16.0,4961,406.996115
-20.0,3367,431.568352
-21.0,3835,456.847564
-20.0,3683,485.843513
-19.0,3969,511.342921
-21.0,3408,536.0544
-17.0,5353,567.883234
-20.0,4760,594.453652
-20.0,3847,619.74235
-21.0,3648,649.337159
-17.0,4964,676.398709
-20.0,4036,702.137787
-19.0,4982,733.718232
-20.0,4413,759.878878
-19.0,6412,808.921166
-18.0,5464,841.335884
-20.0,4961,888.538496
-16.0,6225,923.420825
-19.0,5241,950.748312
-19.0,5731,1005.295226
-18.0,8206,1056.84894
-17.0,7597,1114.112427
-19.0,6086,1142.677851
-20.0,6578,1200.494125
-13.0,9662,1262.498829
-1.0,14833,1372.117081
-3.0,16062,1486.552415
-13.0,8394,1548.626138
-6.0,12730,1636.274656
-7.0,13132,1726.641309
13.0,10025,1794.288655
14.0,9654,1877.849936
-4.0,16653,1996.045212
3.0,17219,2109.019021
-3.0,17651,2238.856652
3.0,19190,2384.649878
19.0,8745,2449.260516
19.0,9200,2516.845707
18.0,9822,2590.641301
18.0,14774,2704.517045
20.0,8270,2756.152628
17.0,10033,2842.416328
21.0,7907,2903.839482
17.0,10865,2975.19513
21.0,7907,3026.392178
20.0,8134,3089.064394
14.0,19073,3233.011118
21.0,7907,3294.662418
21.0,7907,3361.59383
21.0,7907,3412.691298
13.0,15920,3507.955918
21.0,7907,3567.943375
13.0,18163,3717.724892
13.0,17958,3838.633617
13.0,17272,3953.200153
20.0,15458,4079.386739
13.0,17727,4229.763286
19.0,15262,4328.395117
10.0,20820,4492.474045
20.0,8142,4562.888652
16.0,15825,4684.619463
21.0,10381,4776.023399
17.0,10097,4832.187082
13.0,17895,4994.367831
17.0,14054,5111.070536
21.0,7907,5190.409036
21.0,7907,5253.41369
21.0,7907,5316.368315
21.0,10381,5381.902861
19.0,6676,5433.017114
17.0,8526,5499.130987
17.0,13196,5593.739389
18.0,9668,5678.472246
20.0,7212,5709.786911
19.0,9708,5796.355951
19.0,12728,5888.049886
20.0,9004,5955.361586
17.0,9378,6022.783377
21.0,7975,6077.183834
17.0,8206,6142.273623
19.0,7446,6196.085003
19.0,10970,6285.46334
21.0,7907,6350.636809
19.0,6924,6390.397742
17.0,12318,6480.531608
21.0,7907,6533.68652
19.0,10970,6622.372645
21.0,7907,6685.85495
20.0,9936,6742.009034
20.0,15350,6870.737397
19.0,10042,6927.611501
20.0,8030,6989.048222
19.0,8290,7051.953762
21.0,7907,7104.680052
17.0,7898,7169.210319
19.0,6860,7233.60824
21.0,7907,7287.07837
19.0,6852,7327.067048
16.0,10288,7413.476354
18.0,8134,7470.259724
19.0,8690,7533.8207
21.0,8113,7598.497499
