#{"t_start": 1738834935.9117, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3296,5.38335
-20.0,3799,30.404421
-21.0,3056,54.308825
-21.0,3056,82.288461
-20.0,3367,106.830949
-21.0,3296,111.325297
-19.0,4104,136.758138
-20.0,3681,165.609355
-19.0,3818,190.650666
-20.0,3850,215.74393
-21.0,3168,243.561837
-20.0,3350,268.146659
-21.0,3128,272.442019
-21.0,3548,297.245552
-19.0,4079,326.782792
-20.0,3835,351.977094
-20.0,3933,377.31585
-21.0,3613,405.976666
-20.0,3783,431.131937
-21.0,4112,456.751024
-21.0,3376,481.447754
-19.0,4647,511.736068
-18.0,4955,538.560584
-20.0,3923,568.444749
-20.0,4329,594.430163
-17.0,5725,622.349929
-20.0,4674,673.576237
-19.0,3755,698.9133
-18.0,4646,725.403598
-20.0,4764,756.732674
-21.0,4516,783.009888
-21.0,3656,808.12581
-20.0,5148,840.132298
-18.0,4774,866.832481
-19.0,6294,922.014239
-20.0,5536,949.691382
-20.0,6591,1005.427646
-14.0,8618,1057.574286
-16.0,7634,1114.861322
-19.0,6909,1153.146446
-15.0,8312,1204.82542
-13.0,8402,1264.97479
3.0,12471,1351.332983
-19.0,6926,1401.194539
-8.0,11254,1488.811905
11.0,9443,1552.290576
8.0,11542,1638.303657
18.0,8483,1702.232307
-3.0,16546,1819.124745
-3.0,16914,1933.011394
-7.0,14732,2057.110134
18.0,8694,2109.23833
18.0,8339,2173.131997
11.0,13709,2265.198713
14.0,10329,2358.696774
20.0,8430,2410.455014
7.0,17606,2542.223322
20.0,8430,2613.592473
19.0,9273,2666.560381
15.0,10758,2755.344737
16.0,9633,2821.029567
21.0,7907,2882.37921
21.0,7907,2933.499341
10.0,11542,3026.005422
7.0,18155,3179.86422
8.0,17154,3294.592264
16.0,16983,3414.267855
20.0,8430,3479.184202
21.0,8151,3539.235038
21.0,7907,3590.5571
11.0,17696,3719.633621
21.0,7907,3770.337439
20.0,8142,3837.743307
14.0,12946,3926.280952
18.0,15917,4038.522066
13.0,18671,4201.038936
19.0,16470,4325.0227
20.0,15010,4423.594544
18.0,16606,4563.358301
20.0,8233,4618.498983
20.0,8952,4707.613855
9.0,17052,4829.520723
21.0,7907,4893.910065
20.0,8430,4963.329299
17.0,12286,5077.415518
21.0,7907,5141.414102
18.0,10513,5225.47894
17.0,10994,5317.328319
19.0,7328,5378.101814
20.0,8270,5431.684233
18.0,7518,5475.451293
15.0,14952,5593.589516
19.0,9341,5657.543436
19.0,8183,5710.617665
20.0,7212,5772.600158
20.0,8430,5836.852389
19.0,7438,5889.796353
20.0,8278,5955.963864
20.0,6268,6008.38941
20.0,8278,6073.504257
19.0,7618,6116.262942
18.0,7236,6170.13958
21.0,7907,6234.621049
19.0,6962,6286.449572
18.0,14078,6390.315941
21.0,7907,6444.185359
21.0,7907,6506.192425
21.0,7907,6559.693146
20.0,10153,6626.33055
20.0,6536,6687.677134
19.0,7360,6740.018643
16.0,10050,6808.093234
21.0,6640,6870.694073
18.0,12766,6960.325236
18.0,8361,7014.258134
20.0,8233,7076.860529
20.0,10690,7165.950159
21.0,9846,7234.801162
19.0,8977,7289.908803
21.0,8225,7352.863878
20.0,6268,7412.332963
20.0,6512,7442.987404
21.0,7907,7508.235333
20.0,8233,7562.172222
15.0,12706,7654.18993
18.0,13364,7771.532663
21.0,10373,7836.241913
18.0,14956,7952.923313
17.0,11286,8042.055774
21.0,7907,8091.379683
20.0,6648,8155.615397
19.0,8930,8212.224574
21.0,6610,8281.994552
20.0,7178,8335.863335
21.0,6610,8377.399983
21.0,7975,8432.383315
21.0,7907,8501.998411
20.0,7868,8568.372395
21.0,6372,8620.464105
20.0,8030,8685.781312
21.0,7907,8730.330193
21.0,6878,8783.953564
19.0,7812,8847.467149
21.0,15110,8974.385311
21.0,7907,9049.961189
19.0,6962,9084.906733
19.0,8216,9153.920622
21.0,6372,9208.434989
21.0,7907,9278.795472
21.0,15110,9384.576816
21.0,6610,9454.790692
21.0,14982,9585.312753
20.0,15555,9719.549128
19.0,16794,9853.649968
20.0,10981,9931.135246
17.0,14560,10059.95994
20.0,7240,10127.79631
20.0,10281,10205.294217
20.0,11301,10299.341622
21.0,10373,10370.780496
20.0,10690,10449.82401
21.0,7907,10513.187839
19.0,14018,10611.567878
20.0,8030,10675.44234
21.0,7907,10728.167679
21.0,15110,10856.811234
21.0,15110,10969.772214
20.0,8225,11033.696063
21.0,15110,11131.561152
21.0,6878,11182.412546
21.0,7907,11245.478961
21.0,10373,11314.050888
21.0,6610,11365.024933
21.0,7907,11425.771618
21.0,10373,11513.424421
21.0,6610,11543.814654
21.0,6610,11603.896146
21.0,6878,11634.689331
21.0,7907,11696.898713
21.0,10373,11783.262068
21.0,10373,11848.822249
21.0,7907,11901.385753
21.0,7907,11965.364644
21.0,7907,12018.230439
21.0,7414,12080.307234
21.0,7907,12143.016976
19.0,15439,12258.150739
21.0,6610,12288.60745
21.0,6610,12349.897042
21.0,6610,12391.254214
21.0,6372,12441.831793
21.0,10373,12528.984435
21.0,10373,12596.765628
21.0,10373,12683.848191
21.0,6372,12713.694425
21.0,7907,12775.403111
21.0,7907,12828.502261
19.0,10421,12914.817818
21.0,10373,12979.496371
21.0,7907,13041.574776
20.0,6958,13092.896248
20.0,10678,13160.055824
20.0,14380,13273.203577
21.0,6610,13313.498968
21.0,7907,13366.644222
21.0,7907,13428.120984
20.0,9660,13513.315218
21.0,7907,13565.377079
21.0,7907,13606.544717
21.0,7907,13666.55714
21.0,7907,13718.627607
20.0,6942,13779.475802
18.0,7194,13830.811892
21.0,6610,13869.653329
21.0,6610,13920.178547
21.0,7907,13982.256785
21.0,6610,14041.799409
21.0,7907,14073.64447
19.0,9183,14160.117424
21.0,8695,14223.635461
21.0,7907,14275.917372
21.0,7907,14339.229618
21.0,6610,14368.914816
21.0,10373,14456.635852
21.0,10373,14521.546456
21.0,6610,14584.267975
21.0,6610,14634.43558
21.0,6610,14674.285825
21.0,6610,14724.607764
21.0,7907,14786.095362
21.0,10373,14850.198748
21.0,6610,14900.884748
21.0,12862,14988.978876
