#{"t_start": 1738834936.026997, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3131,5.050755
-19.0,4539,31.060586
-21.0,3408,55.422131
-21.0,3168,83.588691
-21.0,3412,108.142976
-21.0,3533,132.820287
-20.0,3435,137.477681
-20.0,4027,166.819303
-19.0,3792,191.809019
-20.0,3679,216.682045
-21.0,3296,244.725606
-21.0,3544,269.577681
-20.0,3719,294.628665
-21.0,3300,319.324735
-20.0,3855,348.365785
-21.0,3658,353.343704
-19.0,4425,399.392435
-21.0,3300,407.602344
-20.0,4056,433.099688
-21.0,3296,457.653256
-20.0,3420,486.247919
-20.0,4206,512.075752
-21.0,3371,536.728284
-20.0,4151,562.385741
-19.0,4063,592.564338
-21.0,3296,617.040918
-20.0,3915,642.468897
-19.0,4465,673.39187
-18.0,5215,700.805499
-20.0,3719,726.0004
-19.0,4561,757.053108
-16.0,5235,784.341793
-18.0,5527,836.950493
-18.0,5307,864.344823
-20.0,4386,890.629285
-18.0,5512,924.548347
-18.0,8046,982.201486
-18.0,7778,1033.298995
-14.0,8112,1091.1919
-21.0,6016,1139.787962
-18.0,8324,1200.041076
-20.0,6845,1229.530071
-18.0,9639,1311.13259
-10.0,10219,1374.73013
10.0,10647,1461.5283
-18.0,7303,1491.824432
20.0,8096,1553.391201
21.0,7907,1614.330421
18.0,8422,1666.022982
-5.0,13840,1791.143271
10.0,11742,1867.788987
-11.0,10019,1931.936215
19.0,9094,1999.2046
-2.0,13051,2086.222584
19.0,8433,2150.276097
20.0,8167,2201.782086
19.0,8351,2286.348145
19.0,8646,2357.479664
20.0,8199,2408.893772
21.0,7907,2472.343023
6.0,17688,2591.819575
16.0,9318,2664.468061
21.0,7907,2729.169851
17.0,8495,2781.187782
21.0,7907,2844.314447
21.0,8319,2906.268992
20.0,7988,2957.519453
12.0,16547,3088.277739
12.0,18729,3231.813524
16.0,16783,3361.747042
16.0,17097,3478.829289
12.0,18421,3593.469922
9.0,29586,3834.98569
21.0,7907,3865.825013
17.0,17428,4010.874811
19.0,16042,4127.78941
20.0,8224,4201.110647
20.0,8142,4256.690285
21.0,7907,4324.394493
20.0,8606,4392.629486
19.0,11178,4465.623521
18.0,15179,4589.177337
19.0,8969,4658.344803
16.0,9761,4736.243434
20.0,8233,4802.603683
17.0,10017,4869.961509
21.0,7907,4923.645835
15.0,12834,5031.772586
11.0,15588,5190.89741
21.0,7907,5253.852129
18.0,9310,5318.959195
20.0,10105,5404.298505
18.0,7234,5436.09826
18.0,8844,5523.350548
21.0,7907,5568.531818
20.0,9913,5653.958539
19.0,7678,5706.296456
18.0,7632,5768.987858
20.0,8601,5823.552971
19.0,10130,5890.488135
21.0,7907,5956.127614
20.0,12868,6050.11047
20.0,6646,6102.769479
21.0,7907,6167.248394
21.0,7907,6231.866615
19.0,8921,6286.659254
20.0,8430,6352.636543
21.0,10381,6418.25342
19.0,14192,6531.936542
21.0,7907,6594.832267
20.0,8142,6649.250335
21.0,7907,6712.476649
20.0,8361,6777.790054
18.0,7642,6830.762861
18.0,15502,6927.707349
17.0,8310,6989.555424
19.0,9370,7074.692121
20.0,6980,7105.401765
19.0,8052,7170.091282
18.0,8066,7236.328956
19.0,8345,7290.44281
18.0,14222,7412.480101
19.0,8166,7469.385277
20.0,6268,7508.421379
18.0,12116,7599.896478
21.0,6372,7650.772586
20.0,7182,7716.867209
21.0,7907,7770.604135
19.0,15246,7873.741306
18.0,11344,7953.872977
19.0,15713,8086.874389
18.0,13078,8182.625372
21.0,6610,8235.422423
21.0,7907,8307.333407
20.0,6762,8339.40609
18.0,9550,8427.846291
20.0,6914,8475.272848
20.0,7020,8527.93993
20.0,15255,8658.590336
21.0,10373,8717.531419
19.0,7990,8783.708721
20.0,6972,8845.958825
20.0,6914,8877.863981
21.0,7907,8950.313068
18.0,10222,9051.880127
21.0,15110,9177.559539
20.0,9905,9250.329461
21.0,7907,9309.285427
21.0,7907,9380.063504
21.0,10373,9456.629831
21.0,7907,9514.827907
19.0,9168,9613.654683
21.0,7907,9666.132524
20.0,10690,9768.122843
20.0,11452,9855.08237
19.0,7094,9926.054665
21.0,7907,9999.795142
19.0,9088,10058.877957
19.0,6850,10103.126315
18.0,8302,10179.092858
21.0,10373,10258.748641
21.0,8319,10327.481686
21.0,6610,10392.833895
21.0,15110,10487.593302
21.0,7907,10541.849407
21.0,10373,10634.337991
21.0,15110,10728.872543
20.0,6914,10792.810879
21.0,15110,10909.109986
21.0,6610,10947.790071
21.0,10373,11035.201418
19.0,12338,11128.966734
21.0,7907,11181.256776
18.0,6864,11222.313925
21.0,15126,11338.998477
21.0,6610,11389.879118
21.0,7907,11450.452249
21.0,6610,11491.481142
21.0,10373,11568.493852
19.0,15927,11693.10969
21.0,7907,11746.154993
21.0,6610,11785.673442
19.0,9604,11870.595687
21.0,10373,11937.858656
21.0,6610,11988.977448
21.0,10373,12055.38355
21.0,15110,12169.914786
21.0,10373,12236.28018
21.0,10373,12323.820049
21.0,7907,12377.128036
21.0,7907,12440.688814
20.0,10556,12507.474423
21.0,7907,12560.272651
21.0,10373,12648.88384
20.0,6972,12710.177055
21.0,7907,12762.646277
19.0,15198,12865.565614
20.0,9081,12920.060935
21.0,7907,12980.979756
21.0,7907,13043.03696
21.0,6610,13093.83965
21.0,7907,13157.02669
20.0,16937,13273.870729
21.0,6610,13334.859548
21.0,6610,13365.386434
21.0,15110,13478.106976
21.0,6878,13538.852406
21.0,10373,13603.903291
21.0,6878,13654.803715
21.0,6610,13692.314203
21.0,6878,13743.107428
21.0,10373,13829.285658
21.0,10373,13894.074776
21.0,7907,13956.211227
21.0,6610,14006.709797
21.0,10373,14071.605986
21.0,6610,14133.663371
19.0,14998,14226.98282
20.0,7212,14278.230819
20.0,15010,14403.865836
21.0,7907,14456.104012
21.0,6610,14495.274955
20.0,14678,14610.326396
21.0,13982,14701.565298
20.0,10690,14787.492275
20.0,11354,14873.562026
21.0,6610,14903.788731
21.0,7907,14964.133419
20.0,10685,15049.862137
20.0,8939,15113.290727
21.0,6610,15163.774259
20.0,8936,15227.230799
21.0,6610,15257.330756
21.0,6878,15318.375181
21.0,11726,15406.598974
21.0,7907,15459.167525
21.0,11350,15547.105449
21.0,7907,15608.296072
21.0,10373,15673.471837
21.0,7907,15726.047151
20.0,12172,15815.463774
21.0,10373,15881.469403
21.0,7907,15945.930252
21.0,7907,15998.32586
18.0,14116,16123.172322
21.0,7907,16175.681282
21.0,10373,16240.667799
20.0,10052,16324.824716
21.0,6610,16354.768618
21.0,7907,16417.684936
21.0,11350,16508.668161
21.0,11726,16595.034245
21.0,6610,16625.004248
21.0,7907,16687.823797
21.0,7907,16750.168233
21.0,10373,16827.165868
20.0,8764,16890.526345
20.0,11430,16978.271138
21.0,10373,17045.653608
21.0,6610,17096.478643
21.0,10373,17161.056398
21.0,11350,17247.644389
19.0,10944,17335.271318
21.0,6610,17374.780805
21.0,10373,17451.500205
20.0,11866,17539.479902
20.0,10086,17605.667101
21.0,10373,17691.733794
21.0,7907,17752.896185
20.0,12593,17842.376109
20.0,11490,17930.683215
21.0,6610,17960.911524
21.0,11350,18048.695263
21.0,7907,18112.268275
21.0,11350,18199.12678
21.0,7907,18251.285791
21.0,10373,18316.959728
21.0,6610,18367.473402
21.0,6610,18406.730746
21.0,7907,18468.515193
