#{"t_start": 1738834936.0556958, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,4234,26.417167
-21.0,3133,30.63124
-20.0,3352,54.931211
-21.0,3408,83.453651
-21.0,3296,107.877373
-21.0,3056,112.050566
-21.0,3168,136.208364
-20.0,3847,165.31679
-19.0,4352,191.073068
-19.0,4398,216.932435
-19.0,4117,246.111538
-20.0,3607,271.032531
-21.0,4032,296.488754
-19.0,3778,325.590726
-20.0,3481,350.304262
-21.0,3056,374.45193
-21.0,3056,378.627206
-20.0,4218,408.145213
-20.0,3675,433.108268
-21.0,4024,458.685392
-19.0,4503,488.788106
-20.0,3706,513.873019
-20.0,3923,539.321319
-20.0,4749,570.375242
-20.0,3675,595.397215
-19.0,4604,621.729001
-19.0,3972,651.930818
-20.0,5026,699.11831
-19.0,4242,725.009188
-21.0,3953,755.249705
-21.0,4592,781.598768
-19.0,4065,807.26343
-20.0,3969,837.628276
-21.0,4225,863.534497
-17.0,7524,900.404941
-18.0,5258,947.76246
-18.0,6107,982.664103
-18.0,6883,1032.526621
-20.0,6327,1067.768224
-18.0,6462,1117.026704
-20.0,6443,1174.814123
-17.0,10264,1229.089012
-10.0,10188,1311.45046
-16.0,7890,1371.792822
-12.0,10154,1437.726007
-19.0,6384,1486.894613
12.0,10473,1551.809301
18.0,8420,1613.477751
-7.0,12483,1702.952042
-8.0,12822,1794.525822
-12.0,12036,1881.546851
16.0,9601,1955.271133
-9.0,13762,2057.863445
12.0,9937,2111.694091
18.0,8579,2175.918193
16.0,9926,2262.736722
8.0,16282,2384.478481
21.0,7907,2447.902041
2.0,17140,2566.687548
2.0,19664,2727.488006
20.0,7911,2778.666032
8.0,14683,2881.600536
21.0,7907,2932.712792
6.0,18183,3085.798611
21.0,7907,3137.194044
21.0,7907,3184.896181
9.0,17996,3320.887451
16.0,16649,3453.301333
13.0,19868,3590.014467
21.0,7907,3655.474054
13.0,18283,3770.643606
17.0,17917,3902.013052
21.0,7907,3953.167798
18.0,15972,4080.053915
19.0,15270,4203.526075
19.0,15571,4326.133096
20.0,8278,4393.820509
20.0,11201,4488.057453
12.0,16900,4614.316117
15.0,14777,4712.229583
20.0,8278,4779.91532
15.0,9897,4867.721926
21.0,7907,4921.246193
20.0,8225,4995.339126
19.0,8694,5077.977609
21.0,7907,5141.939992
19.0,10316,5225.63367
17.0,10630,5316.8385
20.0,8142,5378.874972
16.0,8252,5432.416072
16.0,8252,5498.145187
17.0,13614,5593.393903
20.0,8361,5655.801943
17.0,8964,5710.11708
19.0,8216,5773.631793
21.0,7907,5837.14168
20.0,7678,5890.379318
20.0,8278,5956.550926
20.0,8278,6022.335002
20.0,9502,6079.077568
20.0,7868,6143.714054
19.0,8162,6209.03189
21.0,7907,6262.457975
20.0,13084,6356.175849
17.0,10233,6442.855826
19.0,13326,6533.961775
21.0,7907,6596.825788
19.0,10508,6685.416918
20.0,8144,6738.873128
17.0,13982,6833.657151
20.0,8361,6899.582432
21.0,6610,6958.427724
21.0,7907,7011.703973
20.0,8224,7074.405268
15.0,11270,7143.449126
19.0,6616,7194.844288
21.0,10381,7285.508848
20.0,6536,7325.107688
21.0,7907,7378.517512
20.0,9665,7443.331847
21.0,7907,7508.461038
20.0,8287,7562.510708
20.0,8278,7627.219957
21.0,7907,7694.115083
20.0,8270,7748.608583
21.0,7907,7809.660267
20.0,6268,7860.700965
21.0,7907,7925.277094
21.0,6610,7964.677029
21.0,7907,8018.430521
21.0,7907,8089.153095
20.0,14108,8207.654449
20.0,14140,8310.690371
20.0,6972,8373.989112
18.0,9974,8432.206303
21.0,15118,8567.254615
20.0,15250,8686.012715
19.0,9982,8755.013216
18.0,9552,8812.591255
20.0,7868,8876.391229
20.0,9928,8974.079445
21.0,15110,9085.013975
19.0,10421,9179.767359
20.0,8270,9249.687644
21.0,10373,9312.980443
19.0,15194,9455.114128
21.0,6610,9510.992792
19.0,10594,9589.471319
21.0,7907,9664.811021
21.0,10373,9751.92988
21.0,6610,9800.097676
21.0,7907,9872.035212
20.0,7868,9930.566987
19.0,6850,10002.60849
21.0,7146,10058.440409
20.0,8136,10127.73719
21.0,6610,10177.831622
21.0,7907,10233.040586
16.0,15310,10354.731986
19.0,15751,10484.341346
21.0,6878,10515.976528
17.0,12914,10633.455316
19.0,12098,10723.617332
21.0,7907,10768.273436
21.0,10373,10856.815585
21.0,7907,10909.928727
21.0,15110,11023.289593
21.0,15110,11131.094893
21.0,6610,11181.552086
20.0,12348,11271.652405
21.0,10373,11340.380959
21.0,7907,11401.31758
21.0,6610,11451.848853
20.0,6268,11492.374063
21.0,6372,11543.040318
21.0,6372,11602.744042
21.0,7907,11635.08539
21.0,10373,11721.742985
21.0,10373,11808.030561
21.0,10373,11873.331131
21.0,7907,11926.086804
21.0,6878,11988.57049
21.0,7907,12051.314734
21.0,10373,12107.801591
20.0,10865,12195.478461
20.0,9660,12260.903021
21.0,15110,12376.35759
21.0,6610,12417.405054
21.0,6610,12468.498269
21.0,7907,12531.242423
21.0,7907,12595.359856
21.0,7907,12648.396503
21.0,10373,12714.554063
21.0,10373,12800.694121
21.0,7907,12862.917546
21.0,6610,12893.240449
20.0,6752,12952.598395
19.0,8351,13005.955212
21.0,6878,13066.414193
21.0,7907,13119.226238
21.0,6610,13159.804373
20.0,6268,13210.186531
21.0,6878,13250.602185
21.0,6610,13311.387238
19.0,10760,13389.573092
20.0,10584,13454.354105
21.0,15590,13577.839017
21.0,7907,13630.177498
20.0,15534,13741.990497
21.0,6610,13781.851819
21.0,10373,13867.084083
21.0,6610,13917.57385
21.0,6610,13957.362555
19.0,14578,14069.311017
17.0,13146,14161.524419
21.0,6610,14221.985056
21.0,6610,14251.917434
21.0,10373,14339.222836
21.0,7907,14402.542964
21.0,7907,14454.962412
21.0,7907,14495.96683
21.0,7907,14547.936223
21.0,13990,14672.001233
21.0,10373,14727.856982
21.0,7907,14789.33245
21.0,6610,14847.929303
21.0,6610,14878.127028
21.0,13334,14987.419833
20.0,7110,15026.889916
21.0,10373,15112.992103
21.0,6878,15163.877818
21.0,10373,15229.463475
21.0,10373,15316.058646
21.0,7975,15368.375642
21.0,7907,15430.918269
21.0,6610,15470.76996
21.0,7907,15523.496178
21.0,7907,15584.769709
21.0,6878,15635.402098
19.0,12979,15725.213355
21.0,6610,15765.60931
20.0,8535,15849.537425
21.0,10373,15905.348628
21.0,6610,15967.97554
20.0,8030,16030.115684
21.0,12102,16121.945005
21.0,12478,16210.490533
21.0,11350,16267.80328
21.0,11726,16354.524891
21.0,11350,16443.003799
20.0,12557,16535.777973
21.0,10373,16620.020372
20.0,12181,16709.652907
20.0,12662,16799.558901
18.0,15341,16893.169252
21.0,7907,16954.864706
21.0,10373,17043.071667
21.0,11350,17130.05914
21.0,7907,17182.446053
21.0,7907,17222.706078
21.0,7907,17285.774835
21.0,10373,17362.187036
