#{"t_start": 1738834935.998278, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3300,5.322039
-20.0,3655,30.104805
-19.0,4469,55.938581
-20.0,3796,85.004873
-21.0,3648,109.884875
-21.0,4132,135.378406
-21.0,3545,164.040951
-19.0,4067,189.432951
-19.0,4490,215.417975
-20.0,4188,244.673103
-20.0,3367,269.249243
-20.0,4263,295.054179
-21.0,4260,324.798177
-21.0,3296,349.313971
-21.0,3056,353.503755
-19.0,4290,399.356958
-21.0,3133,407.337424
-20.0,3683,432.326834
-21.0,3520,457.209756
-19.0,4098,486.768957
-21.0,3056,511.021286
-21.0,3694,536.117675
-21.0,3530,560.914503
-21.0,3805,570.732348
-19.0,4106,596.32615
-19.0,4121,622.025014
-19.0,4305,652.67836
-21.0,3485,677.577177
-19.0,5026,724.712536
-20.0,4248,755.343488
-16.0,5708,783.253419
-19.0,4624,814.438314
-18.0,5395,841.99232
-20.0,4761,888.911278
-17.0,6916,924.723381
-19.0,5504,972.553651
-19.0,7899,1009.980869
-19.0,6822,1059.617977
-19.0,5430,1093.746565
-13.0,8283,1174.178034
-11.0,9935,1228.038911
-16.0,9100,1288.937035
-2.0,13953,1397.750002
-17.0,7277,1439.54249
-16.0,7519,1490.296327
-14.0,7939,1551.662815
-4.0,13490,1640.320384
-8.0,11656,1728.682031
-8.0,11348,1818.365653
4.0,15297,1929.996121
12.0,11518,2000.696911
4.0,19734,2149.326819
11.0,11001,2237.705186
20.0,8883,2290.076255
-6.0,15038,2410.143976
9.0,17717,2542.065528
21.0,7907,2612.678255
18.0,9407,2665.856741
1.0,16279,2794.646601
10.0,16901,2908.547144
20.0,8190,2976.269057
21.0,7907,3027.485168
11.0,17396,3180.282412
17.0,9910,3234.210124
17.0,9390,3297.862038
16.0,16587,3417.057995
21.0,7907,3481.222427
21.0,7907,3541.025211
21.0,7907,3592.284248
16.0,16118,3719.133857
21.0,7907,3769.943303
19.0,15758,3898.270204
15.0,15863,4010.746971
21.0,7907,4061.67335
14.0,15962,4200.117706
15.0,16713,4324.699185
14.0,11689,4397.409012
21.0,7907,4465.68034
18.0,8729,4520.855899
21.0,7907,4591.70361
17.0,14126,4709.56395
21.0,8699,4777.893058
17.0,11541,4868.186211
14.0,18379,4999.890726
21.0,8219,5081.787322
