#{"t_start": 1738834935.9408052, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3544,5.70198
-21.0,3776,30.700429
-20.0,3834,55.636757
-21.0,3168,83.807839
-21.0,3400,108.362407
-20.0,4450,134.305874
-20.0,3721,163.16848
-20.0,3577,187.914606
-18.0,4463,213.862983
-20.0,4421,243.389214
-21.0,3240,267.848066
-21.0,3544,272.715477
-21.0,3612,297.621919
-20.0,3685,326.609565
-21.0,3056,350.749597
-21.0,3056,374.860929
-21.0,3056,379.034479
-19.0,4014,408.248725
-21.0,3296,432.71923
-21.0,3296,457.261967
-20.0,3367,485.809004
-18.0,4441,511.943971
-17.0,5496,539.504801
-21.0,4008,569.515813
-20.0,4201,595.298703
-20.0,3903,620.68945
-19.0,4364,651.331616
-20.0,4289,677.423519
-18.0,5211,724.832308
-19.0,3739,734.643609
-20.0,4428,780.861606
-19.0,5855,809.04079
-20.0,4834,840.59365
-18.0,5161,867.866791
-16.0,6307,923.074122
-21.0,4967,949.987764
-20.0,5389,983.925176
-20.0,7721,1034.920049
-19.0,6423,1090.450789
-16.0,7911,1141.716503
-20.0,5899,1178.560087
-12.0,11118,1262.616293
-16.0,11043,1346.838748
-19.0,6641,1376.23769
-7.0,13981,1487.771011
-17.0,7866,1549.074236
21.0,7907,1610.031699
13.0,9942,1663.793982
-10.0,11278,1751.575661
17.0,8379,1817.140071
19.0,8433,1878.877164
-3.0,16084,1996.254514
-3.0,17726,2109.919844
-2.0,18728,2261.306141
6.0,18657,2386.289269
21.0,7907,2449.791442
20.0,8430,2516.273997
20.0,7988,2567.531107
21.0,7907,2638.28158
14.0,11302,2727.677412
2.0,15997,2842.328816
21.0,7907,2903.757483
6.0,18735,3026.31288
20.0,8030,3088.827609
15.0,16633,3209.211935
20.0,8430,3271.75873
16.0,16040,3389.957271
21.0,7907,3454.237772
15.0,12177,3539.961981
21.0,7907,3591.19905
18.0,8867,3658.015104
21.0,7907,3718.927075
21.0,7975,3769.819153
20.0,8270,3837.41925
21.0,7907,3898.694571
21.0,7907,3949.957653
19.0,15999,4062.334152
10.0,16644,4202.098284
20.0,8224,4257.978797
14.0,17340,4394.895226
20.0,7988,4448.70987
18.0,8710,4518.393139
21.0,7907,4588.75486
18.0,9657,4659.132994
10.0,15735,4779.304001
21.0,7907,4832.101248
14.0,16446,4966.465808
18.0,15496,5110.885155
19.0,7886,5190.245765
17.0,8468,5254.192268
20.0,8142,5317.526942
20.0,8142,5379.570029
21.0,7907,5432.587146
21.0,7907,5497.795225
19.0,11042,5568.451781
20.0,8142,5621.8818
20.0,8758,5705.193094
20.0,6526,5745.326842
19.0,9230,5800.90173
18.0,9662,5887.955241
19.0,6542,5930.327103
20.0,8108,5985.004198
21.0,7907,6050.211745
21.0,10381,6139.515533
17.0,8931,6195.728063
18.0,9490,6262.102869
21.0,7907,6327.418254
21.0,6640,6378.874597
20.0,8233,6441.655997
21.0,7907,6503.900421
17.0,15662,6620.302905
19.0,10142,6687.147959
15.0,12664,6779.694394
20.0,8030,6833.264748
21.0,7907,6898.449287
20.0,8030,6959.520594
21.0,7907,7012.744454
19.0,6996,7073.681292
21.0,7907,7105.743309
20.0,6268,7167.783618
20.0,6380,7218.817949
18.0,7590,7263.559223
20.0,8430,7326.85454
20.0,6268,7377.922967
21.0,7907,7439.932542
20.0,15579,7558.34846
19.0,10620,7626.519453
21.0,7528,7692.873918
21.0,7907,7746.840527
21.0,7907,7807.945833
18.0,6862,7859.798189
18.0,7230,7902.536902
18.0,15256,8017.596926
21.0,6610,8086.195774
20.0,6988,8118.255726
20.0,10838,8210.602302
21.0,7907,8282.444243
18.0,10965,8373.400541
21.0,7907,8428.233013
18.0,9534,8500.501527
20.0,9630,8569.679819
21.0,7907,8624.244871
21.0,10373,8714.522814
19.0,10482,8784.640945
17.0,11189,8874.565821
20.0,14830,9002.476586
21.0,6610,9053.927693
19.0,11450,9151.342321
21.0,7907,9208.510057
20.0,10633,9283.463481
20.0,15435,9411.533958
21.0,7907,9484.709465
20.0,8270,9557.675864
21.0,10373,9645.043213
21.0,15110,9770.503174
20.0,8233,9829.389919
17.0,15914,9975.85368
17.0,15371,10100.752672
19.0,10598,10202.040184
21.0,6878,10233.76854
21.0,15110,10355.243589
21.0,15110,10483.810428
21.0,10373,10541.856731
21.0,15110,10672.56961
19.0,7294,10724.455898
18.0,15960,10854.255223
21.0,6878,10885.509522
21.0,7907,10946.454781
21.0,10373,11033.843321
21.0,6610,11064.862583
21.0,15110,11182.129478
20.0,10796,11269.946781
21.0,7907,11335.019039
21.0,7907,11367.270736
21.0,10373,11452.03106
21.0,10373,11519.303492
21.0,7907,11581.183978
21.0,6610,11632.291933
21.0,7907,11694.570357
20.0,9425,11758.908626
21.0,6610,11810.012128
20.0,10564,11875.567301
21.0,15110,11991.349731
21.0,15110,12105.983678
21.0,7907,12168.69835
21.0,6610,12208.627941
21.0,7907,12261.867326
20.0,8593,12326.074277
21.0,10373,12414.40446
21.0,6610,12444.565956
20.0,10556,12532.041737
19.0,7678,12595.794862
20.0,11036,12683.862142
20.0,10946,12740.858658
21.0,7907,12802.912348
21.0,6372,12862.868091
21.0,10373,12919.319138
21.0,10373,13004.506155
21.0,7907,13066.486478
21.0,7907,13119.299273
21.0,6610,13159.894747
21.0,6610,13220.295916
21.0,6878,13271.738705
21.0,10373,13338.289552
20.0,8270,13401.054804
21.0,10373,13476.967703
20.0,13244,13567.252931
20.0,6652,13606.641491
21.0,10373,13690.607524
21.0,6610,13740.927788
20.0,9905,13805.971925
21.0,6610,13865.404809
21.0,6610,13895.386454
18.0,10444,13981.615877
21.0,6610,14020.664695
19.0,15201,14136.135443
21.0,7907,14188.704024
20.0,6268,14248.646838
21.0,7907,14291.094787
20.0,10562,14367.836644
21.0,7907,14431.565704
21.0,15214,14544.132136
