,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_vf_coef,state
24,24,-21.0,2025-02-03 22:07:13.361889,2025-02-04 02:59:41.319752,0 days 04:52:27.957863,relu,8,0.15,7.106999185375323e-05,0.85,0.98,0.01938004365287487,0.6,7,512,medium,False,0.38151261917727747,COMPLETE
25,25,-21.0,2025-02-03 22:17:34.840286,2025-02-04 00:20:58.449828,0 days 02:03:23.609542,tanh,128,0.35,2.194734347873333e-06,1.0,0.99,0.038798576888048046,0.3,3,32,small,False,0.424000824251238,COMPLETE
26,26,-21.0,2025-02-03 23:12:17.932063,2025-02-03 23:59:14.493584,0 days 00:46:56.561521,tanh,256,0.1,0.00017577828305494049,0.98,0.85,0.44393655314295166,0.5,1,1024,identity,True,0.9972660753109533,COMPLETE
27,27,-21.0,2025-02-03 23:59:14.494566,2025-02-04 04:09:02.903123,0 days 04:09:48.408557,leaky_relu,512,0.15,7.077691719842214e-07,0.8,0.9999,0.014148223963307933,0.8,10,512,medium_pi,False,0.8927367409479531,COMPLETE
28,28,-21.0,2025-02-04 00:20:58.450862,2025-02-04 17:41:27.517833,0 days 17:20:29.066971,tanh,32,0.35,7.039078522884403e-08,0.9,0.98,0.027515524007386372,0.6,20,8,large,True,0.264309040572385,COMPLETE
29,29,-21.0,2025-02-04 00:24:03.547011,2025-02-04 05:55:28.052911,0 days 05:31:24.505900,elu,64,0.4,0.042765568756189344,0.9,0.8,0.05267795214935145,0.7,10,512,small,True,0.24614497014944378,COMPLETE
30,30,-21.0,2025-02-04 02:40:18.813914,2025-02-04 13:57:38.726786,0 days 11:17:19.912872,leaky_relu,64,0.25,0.0006603296582749882,0.92,0.999,0.058681160524211344,0.7,15,32,medium,False,0.8227243650820518,COMPLETE
31,31,-21.0,2025-02-04 02:45:58.112783,2025-02-04 04:52:49.290049,0 days 02:06:51.177266,tanh,64,0.25,0.0013746819134441062,0.9,0.85,0.27842422655401666,0.3,3,256,medium_vf,True,0.8488544996832209,COMPLETE
32,32,-21.0,2025-02-04 02:59:41.320582,2025-02-04 07:48:59.032735,0 days 04:49:17.712153,sigmoid,32,0.15,0.008942682897680895,0.85,0.99,0.05262072118685593,0.6,7,512,medium_vf,False,0.8245045917558236,COMPLETE
33,33,-16.6,2025-02-04 04:09:02.904397,2025-02-04 11:01:42.751659,0 days 06:52:39.847262,leaky_relu,512,0.4,1.1711128286224228e-07,0.98,0.9999,0.0005989974298447598,1.0,15,1024,small,True,0.3241106766992519,COMPLETE
34,34,-21.0,2025-02-04 04:18:53.169128,2025-02-04 14:43:27.148822,0 days 10:24:33.979694,sigmoid,32,0.25,6.735273589290403e-05,0.85,0.85,0.3292192009973266,0.5,7,4,medium,True,0.3024217233290594,COMPLETE
35,35,-21.0,2025-02-04 04:37:44.985112,2025-02-04 07:26:02.708237,0 days 02:48:17.723125,leaky_relu,16,0.25,2.640754998462685e-06,1.0,0.8,0.01785879664905463,0.3,3,128,medium,True,0.3230744122343985,COMPLETE
36,36,-21.0,2025-02-04 04:52:49.292730,2025-02-04 07:48:01.710653,0 days 02:55:12.417923,tanh,64,0.3,9.29420473343648e-07,0.98,0.85,0.4585027461135834,0.8,5,64,medium,True,0.6433582559970226,COMPLETE
37,37,-21.0,2025-02-04 05:55:28.054005,2025-02-04 14:05:29.867897,0 days 08:10:01.813892,elu,64,0.2,1.3540430147960937e-05,0.9,0.99,0.0016656226936003291,0.3,5,4,medium,True,0.5266263537164495,COMPLETE
38,38,-21.0,2025-02-04 07:26:02.709330,2025-02-04 17:56:56.832302,0 days 10:30:54.122972,elu,32,0.4,1.307130492905166e-06,0.92,0.98,1.4234571223148819e-05,0.9,20,128,medium_pi,False,0.49044457702975663,COMPLETE
39,39,-20.4,2025-02-04 07:48:01.711898,2025-02-04 08:56:34.884798,0 days 01:08:33.172900,elu,16,0.4,6.275219069800963e-08,0.85,0.995,1.8545985394639054e-05,0.6,1,256,medium_vf,True,0.5328539246848744,COMPLETE
40,40,-21.0,2025-02-04 07:48:59.033981,2025-02-04 15:50:27.069377,0 days 08:01:28.035396,elu,128,0.3,3.8806436921572724e-08,0.9,0.995,0.00010110950091096362,0.7,10,32,medium,False,0.29634441511098014,COMPLETE
41,41,-20.4,2025-02-04 08:56:34.886390,2025-02-04 17:13:08.910308,0 days 08:16:34.023918,tanh,8,0.1,3.827417695817702e-05,0.95,0.98,0.0002976633541753594,0.8,10,1024,medium,True,0.5450517616533549,COMPLETE
42,42,-21.0,2025-02-04 11:00:03.246325,2025-02-04 15:34:53.705386,0 days 04:34:50.459061,sigmoid,64,0.2,1.0503497945916136e-05,0.92,0.995,0.690129766482353,0.9,7,1024,medium_vf,True,0.8184659479001364,COMPLETE
43,43,-21.0,2025-02-04 11:01:42.753466,2025-02-04 16:11:40.626600,0 days 05:09:57.873134,elu,32,0.2,5.83858160554016e-06,0.95,0.9,0.012266165622483755,0.6,3,4,medium_vf,True,0.3282974175168692,COMPLETE
44,44,-21.0,2025-02-04 11:32:53.844190,2025-02-04 14:04:57.297499,0 days 02:32:03.453309,tanh,128,0.35,0.0003265256758149711,0.9,0.995,0.04935998496869092,0.6,3,256,medium,False,0.5364417605630726,COMPLETE
45,45,-20.8,2025-02-04 13:57:38.728114,2025-02-04 16:20:23.607348,0 days 02:22:44.879234,elu,8,0.2,4.413938365463944e-05,0.99,0.85,0.0015759941344897002,0.7,3,32,small,False,0.935441104937542,COMPLETE
46,46,-20.0,2025-02-04 14:04:57.299291,2025-02-04 15:09:53.448170,0 days 01:04:56.148879,sigmoid,8,0.25,9.312508649232502e-07,0.9,0.99,0.000718409374354342,1.0,1,128,identity,False,0.36832722387425154,COMPLETE
47,47,-21.0,2025-02-04 14:05:29.869695,2025-02-04 17:20:19.082421,0 days 03:14:49.212726,sigmoid,32,0.3,9.44410686069574e-06,0.98,0.9999,0.2702175489826584,0.6,7,256,medium_vf,True,0.59963825078736,COMPLETE
48,48,-20.2,2025-02-04 14:43:27.150637,2025-02-04 17:36:13.732825,0 days 02:52:46.582188,sigmoid,8,0.1,0.0006234643601261302,0.99,0.99,0.0001229310411081224,0.8,5,1024,large,False,0.6874463209493599,COMPLETE
49,49,-21.0,2025-02-04 15:09:53.449605,2025-02-04 16:09:34.139282,0 days 00:59:40.689677,sigmoid,8,0.15,0.030455533640610082,0.99,0.999,0.00624470585995761,0.7,1,128,small,True,0.5888866933087556,COMPLETE
