#{"t_start": 1738855629.708713, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3544,93.15454
-21.0,3296,178.363205
-21.0,3296,264.368329
-20.0,3367,381.454766
-20.0,3370,467.11802
-20.0,3351,556.346639
-20.0,3371,645.701844
-21.0,3131,735.226811
-21.0,3296,848.030304
-21.0,3424,933.528732
-21.0,3128,1018.62724
-21.0,3776,1134.075178
-21.0,3128,1219.14561
-20.0,3923,1331.701386
-20.0,3676,1421.059239
-21.0,3784,1532.71683
-21.0,4941,1674.572721
-21.0,3300,1771.210739
-18.0,4805,1900.183616
-20.0,3348,2025.769048
-20.0,5668,2194.27154
-20.0,6502,2421.862944
-20.0,5643,2590.234372
-21.0,3843,2720.432592
-21.0,3131,2816.06835
-21.0,3128,2913.406031
-21.0,3371,3016.649631
-21.0,4989,3179.089139
-17.0,6344,3381.848251
-19.0,5579,3576.369119
-16.0,7781,3807.898621
-21.0,3750,3932.803866
-16.0,7272,4161.295893
-18.0,4389,4287.005734
-21.0,3392,4382.670368
-19.0,6032,4580.281227
12.0,8748,4858.849832
-8.0,10382,5179.114331
-7.0,10317,5506.826341
-19.0,7322,5739.573813
8.0,10052,6059.210248
-21.0,6590,6264.182456
-19.0,6710,6486.274198
14.0,8580,6749.818944
-16.0,9807,7078.692103
12.0,9220,7376.594956
-2.0,14184,7842.312614
-2.0,12886,8242.186447
15.0,8330,8499.788972
-19.0,6429,8701.741037
-17.0,6468,8924.152418
-8.0,9229,9228.765854
11.0,8462,9492.798053
13.0,8652,9758.8248
19.0,7138,9982.84269
11.0,8985,10278.242851
18.0,8147,10537.269463
-9.0,8653,10836.207673
4.0,10937,11174.867785
6.0,10659,11540.924508
6.0,13088,11940.889728
9.0,9069,12243.98071
-10.0,8703,12546.0541
9.0,9150,12845.995685
4.0,10120,13148.248493
10.0,8424,13438.97458
21.0,6548,13632.560591
16.0,7840,13900.22702
21.0,6547,14094.941166
11.0,8168,14359.802384
15.0,8229,14623.305222
20.0,7048,14848.789522
20.0,6693,15051.263516
-19.0,6067,15241.556586
14.0,8473,15509.475148
20.0,6685,15732.130159
12.0,9570,16032.397462
15.0,7772,16295.699913
11.0,9185,16581.018989
19.0,7047,16810.35879
13.0,8217,17076.266407
10.0,9574,17369.327863
-15.0,7785,17634.681965
7.0,10390,17970.029445
12.0,9468,18271.774733
19.0,7020,18498.598785
16.0,7678,18732.040463
14.0,7711,18988.50219
19.0,6828,19197.463878
10.0,9381,19532.313569
7.0,11498,19900.761308
-5.0,10849,20239.51824
11.0,9605,20565.466064
13.0,8904,20840.173068
18.0,7687,21108.807663
14.0,8922,21402.646206
21.0,6615,21606.459489
14.0,8213,21874.833619
8.0,9923,22198.333792
19.0,7406,22434.334322
11.0,9507,22743.984973
21.0,6527,22944.140777
-21.0,4153,23074.999726
-21.0,3680,23215.387196
17.0,7791,23477.799645
14.0,7738,23722.611345
6.0,10665,24089.157733
10.0,9543,24391.356279
6.0,10527,24721.02501
18.0,7917,24991.094001
16.0,7776,25230.184486
20.0,6667,25456.670264
20.0,6648,25656.825503
8.0,10258,25985.779611
11.0,9776,26306.50357
18.0,7190,26542.278458
21.0,6548,26733.258263
4.0,10602,27092.457785
18.0,8112,27326.161273
20.0,6648,27555.787308
20.0,6648,27747.534136
11.0,9133,28043.928723
19.0,7315,28268.496631
20.0,6648,28495.535276
18.0,7269,28719.343767
21.0,6771,28952.584364
20.0,6888,29158.124765
19.0,6908,29384.770886
18.0,7525,29622.31118
21.0,6789,29848.203745
17.0,7679,30084.323514
20.0,6667,30309.619499
20.0,6915,30547.837378
20.0,6915,30746.717906
6.0,9449,31083.375283
20.0,6923,31283.586422
-20.0,5494,31475.148322
3.0,12666,31864.889793
7.0,12749,32257.919398
19.0,7647,32523.010828
11.0,9795,32822.322641
17.0,8493,33114.325408
21.0,6787,33319.958381
12.0,8371,33585.753711
10.0,10840,33934.743094
-19.0,4873,34101.839669
15.0,7911,34327.341752
16.0,7859,34597.598041
10.0,9785,34928.793472
19.0,7311,35156.221207
14.0,8185,35421.914049
-19.0,8551,35688.913872
16.0,8047,35950.512756
19.0,7051,36186.908307
21.0,6770,36386.224747
19.0,7366,36620.524795
16.0,8155,36888.924394
16.0,7700,37148.595206
12.0,10110,37478.939575
15.0,8526,37748.391432
20.0,6909,37968.81821
19.0,7140,38201.292359
18.0,7139,38434.765031
18.0,8192,38691.921597
19.0,7015,38900.196576
17.0,7187,39127.317944
21.0,6527,39361.980314
19.0,7052,39588.163253
21.0,6547,39792.762844
21.0,6530,39986.266696
7.0,9615,40313.568338
19.0,6919,40552.155513
17.0,7889,40779.648692
19.0,7260,41011.191133
17.0,8166,41276.86171
14.0,8247,41534.670279
20.0,7044,41768.643681
16.0,8168,42024.535603
13.0,8573,42294.677935
17.0,7759,42560.374403
12.0,9045,42857.43108
20.0,6648,43053.859329
20.0,6648,43287.600045
19.0,7142,43509.66986
12.0,9454,43813.486596
21.0,6527,44005.497609
12.0,8828,44304.280511
14.0,8510,44573.938171
21.0,6547,44795.894744
21.0,6769,44995.827073
17.0,8075,45262.341218
15.0,8604,45519.195769
15.0,8074,45780.725658
20.0,6909,46004.561498
21.0,6548,46205.561724
10.0,9718,46535.620725
21.0,6547,46730.999147
21.0,6547,46964.899303
18.0,7445,47190.999885
20.0,7412,47424.974219
20.0,6667,47650.38321
20.0,6667,47856.336527
19.0,6978,48092.912546
19.0,7559,48319.888306
15.0,9135,48617.556527
13.0,9326,48916.840388
19.0,7019,49145.061353
20.0,6888,49381.254279
21.0,6547,49578.15621
20.0,6667,49812.526966
20.0,6927,50010.110329
-20.0,3367,50150.535007
17.0,7203,50378.278546
20.0,6648,50582.587385
14.0,8743,50876.191
21.0,6527,51082.175173
20.0,7156,51308.977776
20.0,6648,51511.390449
17.0,7717,51773.512885
5.0,10591,52092.107073
20.0,7173,52328.386878
20.0,7096,52562.725283
20.0,7032,52787.084172
20.0,6907,53025.006933
19.0,7145,53252.381844
20.0,7027,53458.756991
20.0,6915,53685.314923
7.0,11546,54062.022571
13.0,10757,54428.217371
20.0,6907,54661.98409
19.0,7490,54887.317458
19.0,7557,55118.98986
13.0,9384,55415.874852
12.0,9087,55702.207161
20.0,6648,55936.128374
21.0,6527,56131.504946
-6.0,10194,56468.03789
20.0,6762,56704.368386
12.0,9297,57003.905336
21.0,6527,57197.938664
21.0,6527,57400.501291
16.0,7693,57660.55544
12.0,9970,57994.438551
19.0,7605,58230.22596
19.0,7083,58454.281776
20.0,7169,58686.162385
21.0,6797,58885.241358
19.0,7056,59118.217269
21.0,6532,59344.106475
21.0,6527,59547.876299
-3.0,12011,59948.745163
20.0,7043,60177.971999
20.0,7169,60411.67982
19.0,6882,60618.697258
21.0,6527,60847.418175
18.0,7712,61084.324358
19.0,7549,61312.182593
19.0,6994,61550.13741
