#{"t_start": 1738855629.857433, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3605,93.068674
-21.0,3408,178.431057
-20.0,3351,291.669324
-21.0,3296,381.52741
-21.0,3296,467.072044
-21.0,3296,556.184739
-21.0,3296,645.436401
-20.0,3367,762.817583
-21.0,3131,847.858197
-21.0,3408,933.34495
-21.0,3131,1018.450237
-20.0,3371,1106.601312
-20.0,3367,1218.729164
-18.0,4502,1332.062695
-21.0,3168,1420.694545
-21.0,3800,1532.389646
-21.0,3243,1617.788727
-20.0,4354,1734.217777
-18.0,4525,1867.756976
-20.0,3479,1994.105346
-21.0,5377,2161.465325
-20.0,4871,2323.794194
-16.0,6296,2520.054195
-14.0,7240,2752.284857
-21.0,3580,2849.234201
-19.0,3824,2983.816396
-21.0,4083,3114.113196
-15.0,7351,3341.941268
-19.0,5597,3544.379776
-8.0,9874,3838.612109
-15.0,7948,4090.395737
-12.0,8342,4350.021996
-12.0,7598,4610.098277
8.0,9464,4890.218348
8.0,10344,5211.172179
-16.0,7696,5443.515036
3.0,11347,5803.292694
-16.0,8727,6090.707334
-16.0,8663,6360.6667
12.0,9018,6655.038162
-9.0,11851,7047.017638
9.0,9617,7344.915117
20.0,7248,7572.827338
-16.0,8013,7842.710627
-7.0,11615,8210.395189
20.0,7018,8434.572712
11.0,8986,8732.468601
6.0,8967,9035.662931
-17.0,7782,9261.051551
16.0,7854,9523.398937
4.0,10378,9854.199281
21.0,7111,10077.956373
14.0,8552,10342.538276
-2.0,10456,10674.780375
-2.0,11164,11044.238848
20.0,6926,11271.678089
3.0,13744,11702.951636
19.0,7119,11940.614085
17.0,7411,12179.406557
18.0,7568,12441.8288
-18.0,6416,12654.088039
12.0,9097,12944.030884
21.0,6545,13147.979342
11.0,8299,13408.654861
10.0,9572,13726.981341
14.0,8345,13998.229483
16.0,8321,14264.459558
18.0,7368,14486.209455
9.0,8501,14753.740214
8.0,11471,15144.298299
10.0,8420,15412.210753
13.0,9052,15699.158186
-16.0,7227,15933.275965
12.0,9874,16232.760499
19.0,6824,16454.830769
14.0,8753,16716.975529
20.0,6692,16938.44128
19.0,7033,17174.7672
7.0,10932,17508.36454
6.0,10469,17872.113894
16.0,8234,18131.839637
20.0,7098,18368.781182
21.0,6612,18562.835836
6.0,10548,18892.229197
9.0,9020,19196.7883
17.0,7940,19467.981568
15.0,9163,19760.224841
20.0,6798,19967.181735
18.0,7076,20197.034936
15.0,8053,20467.465068
16.0,7642,20740.469016
20.0,6927,20938.796353
-19.0,8500,21239.800727
1.0,11436,21605.880276
-9.0,10623,21940.601474
14.0,9205,22231.440367
20.0,6927,22466.63604
20.0,6927,22677.243952
18.0,7173,22911.882495
-21.0,4640,23074.029568
19.0,6921,23312.311176
13.0,8294,23589.222323
6.0,9013,23886.229114
16.0,8195,24153.032277
7.0,9853,24457.219763
14.0,8030,24720.547911
20.0,6779,24927.266253
15.0,8338,25228.865351
17.0,7628,25456.775266
-5.0,10899,25816.4862
20.0,6648,26017.497832
5.0,11772,26413.62244
20.0,6927,26605.990541
20.0,6932,26839.806444
4.0,11096,27197.879674
18.0,7138,27420.217332
20.0,6667,27619.633036
20.0,6927,27842.507635
18.0,7353,28075.733614
4.0,11512,28463.035878
19.0,6919,28656.243354
3.0,9890,28985.037666
19.0,7128,29221.056285
17.0,7557,29449.610865
19.0,6972,29685.267956
20.0,6653,29882.348505
17.0,8148,30148.337864
20.0,7027,30384.546234
19.0,7484,30645.909504
