#{"t_start": 1738855629.887373, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3056,64.806556
-21.0,3368,177.578985
-21.0,3296,263.582746
-20.0,3479,353.535847
-20.0,3370,466.481259
-20.0,3348,555.692101
-21.0,3612,645.384983
-20.0,3367,762.736853
-20.0,3479,848.271391
-20.0,3727,960.821798
-21.0,3296,1046.04015
-21.0,3408,1134.430011
-20.0,3482,1220.011827
-20.0,3742,1332.328061
-20.0,3588,1448.3202
-20.0,4482,1561.167317
-20.0,3855,1674.565215
-20.0,3549,1771.596021
-21.0,3559,1898.669885
-21.0,3131,1993.804774
-20.0,3367,2090.242005
-21.0,4365,2226.454433
-20.0,4694,2388.887149
-13.0,6776,2590.529328
-21.0,3131,2688.530237
-21.0,3627,2816.012548
-21.0,3243,2913.504521
-20.0,3968,3048.655343
-12.0,7844,3277.226997
-10.0,9012,3577.26812
-18.0,6146,3776.877996
-4.0,10713,4121.268031
-14.0,8467,4381.816391
-6.0,11009,4733.775907
-11.0,9202,5025.001621
14.0,8232,5274.688168
8.0,9538,5570.050157
-13.0,10161,5898.383317
-18.0,7022,6122.326414
11.0,8910,6392.530104
16.0,9071,6686.535836
-5.0,12923,7110.488963
-16.0,6936,7344.098254
-4.0,12962,7744.885158
10.0,10022,8068.42208
14.0,8110,8337.406455
19.0,7000,8570.935428
-8.0,10323,8892.012478
-18.0,7315,9131.709873
2.0,10638,9461.422777
8.0,10158,9789.440424
15.0,8426,10046.477712
16.0,8094,10310.444148
19.0,7311,10545.461066
-1.0,11989,10934.429386
-18.0,4497,11077.68904
-2.0,10077,11412.742348
16.0,8722,11701.887887
10.0,10855,12037.137093
10.0,8340,12308.214799
19.0,7307,12547.316506
16.0,7725,12814.84808
10.0,9346,13114.542229
-20.0,3554,13242.72608
-20.0,3835,13338.771176
10.0,9177,13632.692527
10.0,9245,13933.675536
18.0,7191,14158.780139
18.0,7196,14391.640536
15.0,7960,14655.494417
17.0,7312,14880.934724
13.0,7980,15144.693403
12.0,9582,15445.07475
12.0,9120,15732.127716
17.0,7351,15966.309075
19.0,6991,16201.262639
17.0,7534,16423.575107
8.0,8686,16716.034793
17.0,7534,16938.821212
-10.0,8488,17208.468057
14.0,8302,17506.920894
15.0,7759,17731.451041
15.0,8204,18002.718728
17.0,8248,18271.877116
-21.0,4098,18401.989258
-5.0,10594,18732.149758
14.0,8253,19000.526919
-12.0,8683,19293.773749
-17.0,8293,19565.120722
6.0,10685,19901.671768
8.0,10625,20271.126667
21.0,6545,20467.54781
5.0,9818,20806.586202
12.0,9248,21108.454928
7.0,9355,21402.980796
19.0,7380,21639.270235
16.0,8038,21906.493158
12.0,8629,22166.29711
16.0,8706,22466.611616
8.0,11304,22844.001017
13.0,8513,23116.11076
20.0,6667,23345.275029
1.0,12073,23722.593428
-6.0,11296,24090.056984
8.0,9641,24423.440046
14.0,7953,24656.683078
20.0,6760,24893.203894
18.0,7259,25121.495565
11.0,9902,25456.296265
20.0,6667,25656.46026
9.0,10972,26017.109014
14.0,7793,26272.173997
20.0,6648,26477.974842
10.0,11408,26839.765761
20.0,6648,27061.10747
19.0,7497,27293.178579
20.0,6667,27484.513015
20.0,6667,27714.287655
10.0,8522,27980.571127
20.0,6927,28203.427294
-7.0,9264,28495.417603
9.0,11977,28888.521407
20.0,6888,29082.771985
12.0,8222,29353.00442
17.0,7852,29621.595688
15.0,8004,29881.196606
20.0,6667,30083.926057
21.0,6770,30309.355225
20.0,6983,30547.66649
13.0,8271,30822.110544
19.0,7492,31051.955657
18.0,7063,31282.728651
12.0,8299,31537.661486
20.0,6915,31769.150852
19.0,7496,32000.163111
20.0,6915,32225.068833
20.0,7027,32458.940559
13.0,8910,32716.022964
15.0,7796,32984.02974
15.0,8051,33254.047031
21.0,6787,33449.32145
18.0,8113,33713.435334
5.0,13689,34165.10496
18.0,8091,34401.295118
13.0,10144,34725.914215
7.0,10493,35090.069531
19.0,6919,35295.085669
2.0,12597,35720.790191
20.0,6667,35917.79723
8.0,11278,36286.469176
13.0,9177,36587.105849
4.0,11881,36985.301476
17.0,7309,37213.081759
17.0,8027,37448.142828
16.0,8622,37747.943886
19.0,7180,37968.77707
21.0,6752,38170.201445
18.0,7960,38435.363078
21.0,6816,38659.816709
17.0,7591,38899.543987
-1.0,12436,39296.845199
6.0,10358,39630.194953
21.0,6527,39857.095997
4.0,11037,40188.439765
9.0,8638,40486.892192
9.0,10438,40810.381967
21.0,6548,41011.247184
15.0,8237,41277.023088
20.0,6897,41502.470973
21.0,6547,41734.866237
16.0,8044,41960.396063
20.0,7044,42196.95578
15.0,8720,42493.868627
18.0,7881,42720.759119
20.0,7000,42954.517471
21.0,6530,43181.941859
21.0,6547,43383.566577
16.0,8380,43647.33831
14.0,8597,43909.733706
20.0,6648,44142.176845
20.0,6648,44336.749955
20.0,7113,44573.948384
20.0,6667,44796.04368
19.0,7106,45027.399608
14.0,8578,45294.003865
19.0,7063,45518.302393
21.0,6530,45716.815177
19.0,7263,45940.791662
21.0,6548,46173.00845
18.0,7506,46397.604708
8.0,10258,46730.567354
11.0,8772,47029.410757
21.0,6625,47223.310384
20.0,6667,47456.244681
20.0,6667,47650.900001
21.0,6530,47856.709072
21.0,6547,48092.576941
17.0,8561,48352.635359
20.0,6888,48584.833707
20.0,6939,48811.143246
4.0,13488,49241.68332
16.0,7920,49479.43381
19.0,7315,49716.553976
20.0,6667,49943.797554
9.0,10113,50280.746092
20.0,7167,50516.895985
20.0,6648,50714.997086
19.0,7307,50953.183356
17.0,7180,51180.357335
14.0,8604,51478.200949
19.0,7340,51702.717918
10.0,9656,51996.639559
20.0,6915,52230.842578
14.0,8328,52489.708982
19.0,7381,52723.297692
16.0,8518,53024.740179
19.0,7268,53252.344915
10.0,9442,53553.965859
18.0,8968,53858.800393
15.0,10045,54171.769996
19.0,7141,54396.563459
16.0,7750,54662.306889
21.0,6527,54855.744413
21.0,6613,55085.081204
21.0,6527,55280.870278
19.0,7067,55510.805513
20.0,6648,55702.353174
17.0,7921,55968.927311
20.0,6648,56206.389368
12.0,10074,56501.283674
15.0,7558,56770.750051
20.0,7173,57004.003506
19.0,7373,57229.059848
21.0,6527,57432.212799
20.0,6882,57660.744975
21.0,6527,57865.173015
20.0,7043,58091.90543
20.0,6929,58326.019358
19.0,7032,58550.32568
20.0,7002,58784.219989
18.0,7737,59020.61405
19.0,7033,59246.400072
20.0,7010,59482.035817
10.0,8950,59775.110763
18.0,7382,60014.283979
19.0,7377,60253.363895
21.0,6527,60444.171461
19.0,7547,60715.556958
19.0,6994,60914.450134
19.0,7476,61179.739413
20.0,6929,61378.011171
21.0,6527,61614.534878
20.0,6929,61851.392337
9.0,11414,62213.30382
21.0,6527,62414.213451
21.0,6527,62610.856579
19.0,7253,62846.168998
20.0,7001,63082.82243
20.0,6667,63316.313256
19.0,7049,63550.109616
21.0,6527,63748.806174
20.0,7002,63983.430772
20.0,7169,64215.671387
20.0,6939,64447.961799
20.0,7001,64641.680071
20.0,7002,64874.530095
20.0,7001,65107.807179
21.0,6527,65300.608802
21.0,6527,65532.288497
21.0,6527,65727.791033
21.0,6527,65930.440952
20.0,7153,66154.585245
20.0,6927,66388.401505
19.0,7140,66613.719333
19.0,7141,66845.118994
21.0,6527,67037.659797
20.0,7001,67269.487926
20.0,6888,67502.025401
20.0,6929,67731.268098
21.0,6625,67935.245357
20.0,7407,68162.628575
14.0,9326,68463.272194
20.0,7039,68700.973482
19.0,7093,69944.440621
21.0,6527,70171.871192
19.0,7419,70393.054998
20.0,7172,70623.522635
18.0,7539,70845.163745
17.0,8123,71105.885438
21.0,6527,71307.426926
20.0,7407,71560.299334
20.0,6888,71760.379057
21.0,6787,71984.89526
20.0,6888,72212.597956
18.0,7446,72437.979052
20.0,7039,72667.686874
20.0,6888,72858.076198
17.0,8190,73114.601088
20.0,7039,73343.463152
20.0,6888,73562.151157
20.0,7001,73789.183191
20.0,6888,73983.592615
21.0,6527,74241.79552
21.0,6787,74433.692879
20.0,7169,74666.098185
20.0,7173,74898.086471
20.0,6927,75119.475328
17.0,7990,75386.893511
21.0,6527,75573.65809
20.0,7725,75831.572853
18.0,7513,76052.890077
21.0,6787,76281.680103
21.0,6787,76482.257877
14.0,8807,76768.527611
20.0,6888,76998.372372
21.0,6787,77189.437636
21.0,6527,77391.112711
21.0,6527,77611.5577
16.0,7871,77844.168607
19.0,8029,78107.202213
20.0,7415,78362.902001
21.0,6527,78565.485554
20.0,6888,78790.32121
20.0,7415,79021.419146
20.0,7039,79241.519274
21.0,6545,79439.77043
19.0,7621,79668.8473
21.0,6545,79895.81938
19.0,7179,80125.643678
20.0,7415,80348.373732
19.0,7254,80584.487161
20.0,6888,80809.214858
16.0,8010,81074.047131
