#{"t_start": 1738855629.738844, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3296,92.729818
-19.0,3884,178.801896
-21.0,3168,291.753271
-20.0,3348,381.69267
-21.0,3371,467.338587
-20.0,3592,584.555896
-20.0,3607,673.716789
-20.0,3367,763.975392
-21.0,3371,876.179355
-21.0,3296,961.274708
-20.0,4337,1078.259312
-21.0,3131,1163.165387
-20.0,3611,1275.347242
-21.0,3566,1360.539179
-21.0,3172,1449.134268
-20.0,3350,1533.479787
-20.0,3367,1645.869196
-20.0,3592,1734.428412
-20.0,4750,1898.976398
-21.0,3627,1994.833865
-20.0,4324,2123.235348
-20.0,3592,2258.749932
-19.0,5764,2454.89692
-20.0,3348,2552.058194
-14.0,6779,2753.118938
-16.0,6879,2983.898783
-21.0,3432,3082.033072
-11.0,7943,3341.94418
-10.0,7936,3609.080255
-10.0,9123,3900.983243
-20.0,4739,4028.712262
-16.0,6064,4224.063873
-16.0,6075,4414.038388
-17.0,7157,4641.667753
2.0,10616,4993.968369
11.0,8956,5242.879156
12.0,8510,5538.190483
-19.0,6777,5739.653339
8.0,9510,6028.456569
19.0,7140,6264.277705
20.0,7248,6487.178858
10.0,11134,6845.924514
-20.0,7335,7079.672338
9.0,9780,7408.304084
20.0,7240,7637.875219
-17.0,9718,7941.030895
15.0,9085,8242.476095
-7.0,10883,8604.15099
20.0,6746,8796.719418
-13.0,6418,9036.08668
5.0,10365,9365.843043
1.0,13243,9789.028986
-13.0,8397,10046.023959
-18.0,5949,10246.157458
-3.0,11606,10609.550659
6.0,10480,10934.954038
-7.0,10551,11272.67579
15.0,8688,11573.572935
12.0,10001,11907.172156
9.0,9079,12210.37514
-20.0,4758,12340.496497
19.0,7256,12591.018254
17.0,7699,12846.258615
8.0,9454,13147.501703
2.0,10055,13472.180029
15.0,8171,13727.046878
4.0,10843,14063.107253
19.0,6937,14296.09663
19.0,7248,14518.994108
7.0,8931,14816.895012
11.0,8812,15082.695767
-20.0,7856,15337.638283
12.0,9416,15635.875627
-5.0,10277,15966.325139
6.0,11211,16327.718933
19.0,7013,16549.919732
13.0,8953,16842.124979
-19.0,5302,17011.908816
7.0,10141,17336.607953
15.0,8985,17604.696335
12.0,9372,17938.097075
15.0,8287,18196.725401
19.0,6923,18402.604218
4.0,9416,18731.007297
4.0,10784,19066.25541
-18.0,6907,19293.725446
17.0,7782,19533.619082
1.0,12553,19966.182433
15.0,8063,20197.533562
17.0,7534,20467.167413
-8.0,8610,20741.661522
20.0,6667,20970.202595
-8.0,9660,21273.341042
3.0,11706,21670.817314
20.0,6779,21875.031918
1.0,13333,22304.472134
14.0,9225,22601.033847
17.0,7587,22845.313228
17.0,7744,23116.22279
19.0,7354,23346.435904
17.0,7908,23622.886086
16.0,8335,23887.070812
20.0,7019,24122.068429
14.0,8143,24391.177929
7.0,9604,24688.945911
4.0,11492,25057.743366
-5.0,8841,25359.160803
7.0,10612,25688.885629
2.0,9964,26017.364705
4.0,11890,26413.675485
15.0,7729,26637.437052
20.0,7053,26871.878128
20.0,6648,27062.560764
19.0,6921,27293.788598
14.0,8319,27556.276409
18.0,7156,27778.956269
20.0,6667,28011.879282
7.0,9004,28268.534452
20.0,6648,28495.597783
17.0,8013,28758.719111
17.0,7237,28985.039508
16.0,8146,29253.455609
13.0,8946,29515.67034
16.0,7620,29782.540327
16.0,7966,30052.015285
18.0,7277,30276.868442
12.0,9885,30581.210872
20.0,7027,30823.074612
20.0,6648,31051.616359
14.0,8228,31315.286556
14.0,8043,31568.280254
3.0,14136,32000.80652
-10.0,9184,32289.075169
20.0,6888,32523.141741
16.0,8450,32790.206349
17.0,8372,33049.961885
21.0,6787,33286.810932
5.0,9471,33585.362694
10.0,11840,33965.027266
-19.0,7668,34198.835359
18.0,7433,34434.547125
16.0,8805,34725.586208
21.0,6548,34930.02599
21.0,6787,35156.625965
19.0,6919,35390.414976
17.0,7738,35624.168393
20.0,7024,35853.543495
16.0,8069,36122.792394
16.0,8166,36385.565986
17.0,8493,36652.678111
17.0,7849,36920.183832
10.0,10236,37255.524115
19.0,7247,37479.089528
18.0,6930,37715.761743
20.0,6648,37906.38895
-8.0,7564,38138.046742
14.0,8377,38434.586264
9.0,9518,38724.721427
15.0,8053,38996.299175
13.0,8687,39263.668506
17.0,7642,39522.907698
19.0,7293,39758.585465
-20.0,5756,39921.230011
10.0,9078,40219.329273
4.0,11444,40586.543408
19.0,7236,40810.978562
20.0,6651,41042.716931
15.0,7967,41308.084689
12.0,9312,41598.629261
20.0,6915,41801.323426
14.0,8942,42098.738072
19.0,6976,42326.576972
19.0,7181,42560.128425
18.0,7812,42815.9237
21.0,6530,43020.125508
20.0,6890,43247.01957
21.0,6769,43447.349146
19.0,7669,43712.990903
16.0,8541,43973.484851
20.0,6667,44175.976316
21.0,6527,44400.376066
18.0,7253,44637.308184
19.0,7179,44867.843182
20.0,6667,45061.049159
21.0,6545,45293.600772
21.0,6547,45486.965952
17.0,7549,45717.204275
17.0,7885,45972.224814
21.0,6547,46204.241857
21.0,6547,46397.511227
11.0,8840,46696.504085
21.0,6547,46900.111575
9.0,11348,47255.597469
20.0,6667,47457.763012
15.0,7932,47725.953866
20.0,6667,47952.907257
20.0,7044,48158.627955
17.0,7660,48416.724563
19.0,7140,48650.182341
19.0,7121,48883.510413
14.0,9121,49177.247446
18.0,7412,49414.237564
20.0,6667,49611.235746
20.0,6667,49845.472155
18.0,7703,50085.264276
20.0,6667,50313.308166
17.0,7769,50550.840364
20.0,6648,50778.880643
17.0,7300,51017.436508
17.0,7628,51244.831837
20.0,6667,51478.579726
20.0,6667,51672.512994
18.0,7154,51902.475528
16.0,7284,52133.845338
20.0,6890,52361.026301
13.0,10229,52690.986854
14.0,8206,52959.974637
15.0,8231,53219.562519
19.0,7104,53458.178172
20.0,7027,53684.875929
14.0,9293,53994.692437
18.0,8172,54268.141061
21.0,6787,54491.907964
21.0,6527,54694.485775
17.0,8371,54958.778837
21.0,7015,55186.19912
21.0,6527,55384.002399
17.0,8013,55638.26759
19.0,7349,55872.757723
18.0,8147,56131.551538
21.0,6527,56337.565218
11.0,10336,56704.308415
20.0,6929,56901.200884
19.0,7501,57165.302776
19.0,7043,57367.454525
21.0,6527,57595.440048
17.0,8327,57864.599503
20.0,6648,58059.852005
21.0,6527,58293.465945
19.0,6939,58518.098848
20.0,6909,58720.220822
20.0,7113,58949.941169
12.0,9353,59246.919561
20.0,7001,59482.543655
13.0,9504,59776.45182
18.0,7954,60047.982446
12.0,8761,60348.678642
21.0,6527,60544.488304
20.0,6927,60780.613989
19.0,6994,61010.494088
21.0,6527,61213.191105
18.0,7559,61452.650906
19.0,6994,61680.67918
20.0,7001,61917.618886
21.0,6527,62114.862779
21.0,6527,62349.25129
21.0,6527,62543.961612
21.0,6527,62749.424622
20.0,6888,62978.190046
20.0,6667,63182.486724
14.0,9584,63518.397931
13.0,9894,63814.32308
21.0,6527,64048.664466
19.0,7537,64288.945701
20.0,7001,64512.351128
20.0,7002,64745.365195
20.0,7039,64969.883055
20.0,7001,65172.433518
18.0,7419,65427.905158
20.0,6927,65631.547343
10.0,9009,65930.162417
18.0,7261,66154.459394
20.0,7041,66388.466994
21.0,6527,66582.28687
