#{"t_start": 1738855629.67709, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,3752,93.46208
-21.0,3764,206.355737
-21.0,3251,292.443883
-21.0,3131,382.05293
-21.0,3664,495.756884
-21.0,3300,584.934118
-21.0,3131,673.432206
-20.0,3367,763.675478
-20.0,3367,849.01494
-20.0,3592,961.377706
-21.0,3131,1046.36875
-21.0,3520,1134.891394
-21.0,3300,1220.228498
-21.0,3371,1331.994137
-21.0,3616,1421.26661
-21.0,3172,1505.530425
-20.0,3794,1618.252525
-20.0,5367,1771.945604
-19.0,4327,1900.150161
-21.0,4064,2026.844987
-20.0,3712,2161.52609
-20.0,3607,2259.671374
-18.0,5025,2423.153046
-20.0,4272,2558.584807
-21.0,3131,2687.425985
-21.0,3728,2784.584037
-21.0,3131,2881.248788
-21.0,3556,3015.961978
-21.0,5026,3178.469951
-20.0,4655,3309.101782
-11.0,8376,3577.409733
-19.0,5269,3736.684174
-2.0,12186,4122.275442
-21.0,4076,4255.598698
-21.0,3128,4350.291102
-6.0,9874,4672.843417
8.0,9914,4960.844221
-11.0,9063,5242.978432
-18.0,6078,5443.454202
18.0,7612,5696.930346
6.0,10328,6027.355288
16.0,8042,6264.507905
-18.0,6528,6486.338668
7.0,10694,6813.406848
12.0,9942,7143.042149
6.0,9969,7473.228955
14.0,9093,7776.098656
-17.0,9132,8037.428601
11.0,9490,8369.191421
-12.0,7582,8604.427245
6.0,9596,8893.334375
-18.0,6678,9132.064445
-12.0,7864,9397.815689
-17.0,7254,9618.261333
5.0,11607,9982.229903
-9.0,9434,10278.31586
-5.0,10154,10609.699826
-13.0,7556,10837.658015
8.0,10015,11174.910523
3.0,11615,11572.946333
-7.0,10977,11908.018039
-9.0,9592,12243.049123
21.0,6553,12442.153878
15.0,8182,12717.513433
9.0,9624,13018.844727
6.0,9533,13337.913157
18.0,7224,13570.016615
-4.0,10013,13868.792396
6.0,9321,14159.399999
15.0,8439,14453.812668
19.0,6956,14656.441218
21.0,6552,14880.682454
1.0,11218,15240.835248
15.0,8181,15508.210002
15.0,8093,15763.782864
14.0,8895,16032.317247
16.0,8126,16296.185169
14.0,7504,16518.511626
19.0,7356,16778.76659
6.0,9574,17076.778574
3.0,11668,17444.123276
11.0,9387,17732.283745
5.0,11661,18132.351074
14.0,8134,18401.734529
20.0,6682,18605.364207
19.0,7016,18828.062463
18.0,7314,19066.642922
-8.0,10977,19436.315048
7.0,10309,19760.919931
17.0,8047,20031.393041
18.0,7849,20272.46057
17.0,7559,20532.810701
20.0,6927,20773.839534
-21.0,6780,20971.067509
12.0,9079,21273.285451
12.0,9330,21574.278023
7.0,10446,21907.429046
20.0,7043,22133.546702
14.0,9181,22434.742002
20.0,7167,22666.822679
20.0,6910,22911.057877
20.0,6648,23116.714889
-21.0,3392,23247.499617
16.0,7790,23478.640407
14.0,7947,23755.89854
1.0,12000,24153.321726
10.0,10361,24490.390371
12.0,9052,24763.987492
9.0,9566,25088.966711
4.0,12154,25487.699071
13.0,7873,25721.236564
12.0,9204,26017.8846
17.0,7203,26241.782123
20.0,6667,26477.816269
21.0,6547,26669.882667
17.0,7683,26934.187442
12.0,8822,27198.488292
20.0,6927,27420.497411
20.0,6927,27650.420856
20.0,6927,27843.190004
5.0,9733,28171.358638
18.0,7166,28401.397603
-20.0,7506,28625.821546
6.0,11127,28985.439941
21.0,6615,29190.355456
9.0,9994,29515.306078
-3.0,12116,29914.594197
17.0,7882,30179.286957
14.0,7980,30418.478218
17.0,8389,30712.789721
17.0,7664,30956.810716
13.0,8556,31220.969306
18.0,7223,31444.917577
18.0,7282,31703.982395
20.0,6667,31896.868144
6.0,11137,32257.070463
15.0,8884,32554.751277
18.0,7280,32789.302908
16.0,7562,33016.756426
21.0,6787,33254.045586
8.0,9732,33545.66919
20.0,6667,33775.275092
20.0,6888,33975.929215
17.0,8051,34230.843274
2.0,14208,34693.900935
15.0,8161,34962.074586
17.0,7746,35198.745667
9.0,10113,35519.021285
18.0,7608,35787.298185
16.0,7768,36026.711167
21.0,6533,36252.739566
17.0,7665,36491.445465
21.0,6527,36685.009857
18.0,7597,36952.942078
10.0,10547,37288.054073
17.0,7884,37543.769732
