#{"t_start": 1738855629.768748, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,4935,121.412791
-20.0,3367,234.620686
-20.0,3719,321.059962
-21.0,3296,410.675671
-21.0,3872,527.596092
-21.0,3131,615.95626
-21.0,3296,706.196373
-21.0,3424,820.030248
-20.0,3479,905.272491
-21.0,3784,1018.232813
-20.0,3367,1106.352442
-21.0,3648,1218.881854
-21.0,3168,1303.804321
-21.0,3875,1392.73416
-21.0,4276,1532.382122
-20.0,3598,1618.269701
-21.0,3128,1703.421808
-20.0,4563,1866.46959
-20.0,3824,1963.414197
-20.0,4164,2090.996685
-19.0,5899,2291.650697
-21.0,6241,2487.874514
-20.0,3352,2590.798558
-21.0,4928,2752.793106
-21.0,4192,2881.306606
-21.0,3390,3015.750828
-15.0,7188,3243.877565
-11.0,7952,3479.332688
-9.0,9686,3807.292854
-18.0,6088,3996.39065
-16.0,7438,4223.320513
-19.0,6009,4413.273357
-4.0,12529,4796.740444
4.0,11446,5147.944823
-7.0,8716,5442.37928
5.0,9005,5697.945083
-4.0,11566,6090.345355
17.0,7889,6328.901563
8.0,9794,6654.697355
-7.0,13253,7078.64964
-18.0,8081,7344.357029
-18.0,6828,7539.531952
14.0,9741,7874.87408
7.0,10720,8210.453905
7.0,9642,8531.438433
9.0,9202,8827.329914
-1.0,11009,9164.828699
-7.0,9006,9461.351818
13.0,8320,9715.626125
14.0,8611,10013.460384
-4.0,10547,10342.185812
11.0,8934,10641.125679
-7.0,10655,10978.634891
19.0,7109,11206.711212
14.0,8660,11477.869689
5.0,12586,11906.896969
4.0,9249,12210.350029
17.0,7220,12441.506348
-18.0,7013,12654.683792
18.0,7082,12879.157234
19.0,6827,13114.47658
21.0,6548,13307.981776
16.0,7547,13570.052663
18.0,7318,13802.993397
13.0,8402,14062.615165
9.0,8742,14328.786656
-2.0,10425,14687.302195
21.0,6553,14880.974997
5.0,11116,15240.98658
14.0,8776,15509.328397
8.0,10068,15837.344547
20.0,6648,16063.999734
17.0,7143,16295.362353
9.0,10053,16590.253149
15.0,8071,16843.183709
-1.0,10526,17207.258978
14.0,8607,17475.43937
5.0,10696,17808.046083
15.0,8686,18099.577586
-7.0,8946,18401.293743
-16.0,7144,18636.211018
13.0,7968,18859.798638
17.0,7695,19131.695
19.0,7180,19359.139876
-12.0,9753,19664.255791
18.0,7703,19933.723561
2.0,11313,20303.547059
12.0,8202,20565.562898
20.0,6927,20806.406457
20.0,7041,21003.688329
4.0,11767,21403.109424
2.0,13820,21834.4186
19.0,7469,22100.416351
15.0,8359,22368.709517
15.0,8370,22633.503227
16.0,7737,22879.160125
21.0,6527,23115.819854
20.0,6648,23313.320615
6.0,11697,23721.703487
17.0,7268,23961.857734
11.0,8677,24219.129105
18.0,7047,24457.203768
16.0,7968,24720.456232
11.0,8986,25023.960437
19.0,7385,25261.763957
21.0,6719,25457.218062
-15.0,8702,25752.246838
13.0,8094,26016.740744
4.0,12280,26413.681349
20.0,6760,26605.809086
