#{"t_start": 1738855629.798444, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3056,64.889044
-20.0,3676,178.081609
-21.0,3536,264.432917
-21.0,3656,381.917286
-20.0,3367,467.55378
-20.0,3367,584.453826
-20.0,3351,673.252647
-20.0,3350,763.490274
-20.0,3590,876.023829
-20.0,3367,961.19537
-21.0,3288,1046.422997
-21.0,3168,1134.492718
-20.0,3607,1247.237516
-20.0,3923,1332.804928
-21.0,4016,1449.398321
-19.0,4314,1561.972593
-20.0,3367,1674.700316
-20.0,4044,1803.54296
-21.0,3560,1899.574212
-17.0,5098,2058.549296
-20.0,4324,2194.287179
-18.0,6213,2389.922138
-19.0,3902,2520.460284
-19.0,5220,2688.369781
-21.0,3725,2816.032488
-21.0,3616,2914.103475
-21.0,3634,3048.753956
-21.0,5026,3211.438705
-16.0,6804,3414.866398
-9.0,8880,3704.377187
-20.0,6630,3901.995349
-16.0,5042,4060.640263
-21.0,3908,4192.607222
-12.0,8217,4445.741906
-1.0,11975,4827.699208
2.0,10394,5147.79276
-18.0,5748,5346.053656
16.0,8369,5601.807944
-18.0,8529,5866.502315
8.0,10700,6198.99526
-21.0,6050,6392.593284
3.0,13375,6813.468105
6.0,11117,7175.655301
3.0,12553,7573.461533
-9.0,12739,8004.653106
15.0,8530,8274.180198
-6.0,10539,8604.965055
-12.0,7563,8860.323434
-20.0,5535,9036.81476
10.0,8764,9324.54995
14.0,8695,9586.522757
17.0,7936,9854.410764
-2.0,12118,10246.213545
13.0,8763,10505.745719
-11.0,9083,10804.398001
13.0,8993,11109.560226
-4.0,11253,11477.236417
-4.0,10310,11810.943134
14.0,8416,12069.613369
9.0,9056,12372.409462
-10.0,9360,12686.152999
-4.0,9687,13017.564085
-12.0,7057,13212.6312
-20.0,3367,13337.93304
14.0,8089,13571.244703
17.0,7573,13835.397179
17.0,7340,14062.626502
5.0,10180,14391.329015
4.0,10110,14719.672512
8.0,9371,15019.675386
16.0,8754,15274.235082
-18.0,8589,15571.821074
10.0,9349,15869.115491
20.0,6685,16064.948892
16.0,7532,16327.068246
20.0,6665,16517.967279
12.0,8461,16779.861201
-8.0,9287,17077.422645
4.0,10313,17442.686081
-10.0,9860,17731.567056
12.0,9122,18034.960713
19.0,7127,18271.709063
-7.0,8435,18531.377682
21.0,6547,18762.617971
1.0,11188,19100.371102
18.0,7279,19358.727311
16.0,7964,19598.30623
1.0,14344,20064.814189
15.0,9093,20368.789821
-20.0,4987,20532.842793
6.0,9158,20839.367785
20.0,6927,21075.403693
20.0,7023,21273.82823
10.0,10929,21639.524115
18.0,7860,21906.465133
8.0,11947,22272.666112
2.0,12261,22677.145384
21.0,6533,22910.849516
20.0,7167,23148.823159
10.0,8716,23412.473402
1.0,11605,23821.822854
18.0,7043,24026.489166
-10.0,8733,24317.171332
16.0,8024,24590.645915
12.0,8740,24861.519042
11.0,10075,25197.328712
6.0,11315,25559.78696
-13.0,10381,25880.453943
12.0,8323,26146.979153
9.0,10042,26478.182827
20.0,6939,26700.961002
21.0,6548,26903.219553
18.0,7474,27156.439183
17.0,7766,27388.031407
20.0,6667,27618.447385
10.0,8661,27874.315573
20.0,6927,28106.712915
6.0,11023,28433.041996
20.0,6648,28655.822035
18.0,7155,28889.064561
16.0,8415,29157.756378
18.0,7193,29384.833988
21.0,6527,29589.640808
20.0,6648,29815.396924
13.0,7822,30082.933216
20.0,6764,30277.366368
20.0,6915,30515.332155
19.0,7253,30745.861709
19.0,7492,30989.074807
19.0,7280,31220.617091
20.0,6648,31443.73685
20.0,6890,31639.972809
9.0,8860,31928.864943
-10.0,11328,32288.799717
9.0,9238,32587.238099
7.0,9590,32887.033007
19.0,7055,33115.254179
20.0,6888,33351.737349
16.0,7772,33616.677632
8.0,10430,33934.359539
1.0,12389,34326.43486
-8.0,10004,34662.310053
9.0,9032,34930.040314
17.0,8541,35229.672792
16.0,7866,35455.833092
19.0,7028,35689.21696
-1.0,13469,36123.460541
16.0,9097,36427.077169
17.0,8337,36684.802121
3.0,12818,37116.390909
17.0,8365,37384.838469
21.0,6789,37609.456506
2.0,12785,38000.72267
-15.0,5611,38170.4259
20.0,6960,38394.337069
21.0,6527,38627.189015
-11.0,8881,38899.814229
3.0,10688,39262.866993
18.0,7076,39490.321665
13.0,8846,39759.339098
21.0,6547,39984.861115
12.0,8961,40250.76939
20.0,7019,40487.406184
16.0,7845,40746.933984
19.0,7309,40978.966232
18.0,7799,41234.592608
19.0,6885,41438.040021
20.0,6667,41671.034686
20.0,6760,41863.550514
12.0,8119,42130.729166
