#{"t_start": 1738855629.827947, "env_id": "PongNoFrameskip-v4"}
r,l,t
21.0,6527,57692.94326
21.0,6527,57896.924983
15.0,8714,58188.390252
17.0,8205,58422.337092
19.0,7551,58686.107565
20.0,6894,58916.313881
3.0,12194,59279.912479
18.0,7134,59515.589382
10.0,9616,59850.413505
16.0,7560,60080.750465
19.0,6994,60318.272515
18.0,7672,60545.055694
19.0,6994,60781.328279
20.0,6927,61011.06728
19.0,6994,61245.563837
17.0,7386,61484.96409
19.0,6994,61712.417244
20.0,7001,61950.43734
20.0,7039,62147.716118
19.0,6994,62382.331437
19.0,7253,62610.761473
17.0,8352,62880.100865
20.0,7001,63116.6699
17.0,8262,63381.336526
20.0,7169,63616.148279
19.0,7253,63846.437532
19.0,7378,64114.535293
21.0,6527,64320.59382
20.0,7001,64544.14324
20.0,7039,64777.156164
20.0,6929,64970.825808
20.0,6648,65203.385293
21.0,6527,65396.372149
20.0,6828,65630.55148
20.0,6888,65858.131416
20.0,6648,66059.014255
21.0,6527,66251.197187
14.0,8559,66549.194996
18.0,7617,66780.922354
20.0,7169,67004.801988
20.0,7169,67237.71575
14.0,8610,67502.892477
20.0,6929,67732.197794
21.0,6527,67966.366772
20.0,7169,68193.623221
18.0,7452,68429.925648
21.0,6527,68625.394024
18.0,7949,69913.107096
21.0,6527,70109.170071
19.0,7664,70361.330824
19.0,7801,70593.309915
20.0,7169,70813.483187
21.0,6527,71041.230743
20.0,6648,71237.154313
19.0,7141,71466.16185
20.0,6828,71687.763963
21.0,6527,71887.268994
11.0,9108,72182.291905
20.0,6927,72405.790179
21.0,6527,72604.811911
20.0,7039,72826.264955
20.0,7039,73050.52971
21.0,6527,73240.354691
21.0,6527,73438.249777
21.0,6527,73655.506732
21.0,6527,73853.573618
20.0,7725,74145.831466
21.0,6545,74337.372983
21.0,6787,74569.539881
21.0,6527,74761.524078
21.0,6527,74963.216713
20.0,7415,75215.391372
21.0,6527,75417.324225
21.0,6527,75605.750942
16.0,8379,75864.04358
20.0,6888,76092.079869
20.0,7409,76314.810932
21.0,6527,76545.024137
20.0,6888,76737.623402
14.0,9629,77062.034452
20.0,7409,77294.168637
20.0,7001,77517.789179
20.0,7039,77747.498419
18.0,8025,78001.413064
21.0,6527,78201.490328
20.0,7725,78428.758201
21.0,6527,78662.444404
21.0,7011,78895.704328
21.0,6527,79083.659595
20.0,7309,79313.70844
19.0,7781,79564.140226
11.0,10738,79896.212606
21.0,6527,80094.686412
20.0,7265,80347.569371
21.0,6787,80551.444053
21.0,6545,80747.516794
21.0,6527,80977.898575
21.0,6527,81171.574774
